from,to,relation,weight,international
dag,dib,3,6,nein
dal,dht,4,6,nein
dal,afd,3,6,nein
dam,dib,3,6,nein
dap,ovek,5,6,ja
dap,afd,3,6,nein
dat,afd,3,6,nein
dbh,afd,3,6,nein
dbh,dnb,1,4,nein
dbh,dgk,3,6,nein
dbh,dca,1,4,nein
dbh,oms,1,3,ja
dca,dib,3,6,nein
ddf,dha,1,3,nein
ddf,dib,3,6,nein
ddm,afd,3,6,nein
dds,dib,3,6,nein
dfk,ddm,1,4,nein
dfk,afd,3,6,nein
dfk,ja,3,6,nein
dfs,dkn,4,6,nein
dfs,dmcm,1,2,nein
dfs,dib,3,6,nein
dgk,dib,3,6,nein
dha,dag,4,6,nein
dha,afd,3,6,nein
dhms,dls,1,3,nein
dhms,afd,3,6,nein
dhms,dib,3,6,nein
dht,dls,1,1,nein
dht,afd,3,6,nein
djab,afd,3,6,nein
djg,dfs,1,4,nein
djg,afd,3,6,nein
djg,dib,3,6,nein
djh,dsk,1,3,nein
djh,afd,3,6,nein
djh,dib,3,6,nein
djob,dpn,1,4,nein
djob,drti,1,4,nein
djob,afd,3,6,nein
djr,dib,3,6,nein
djr,dea,5,6,nein
djs,afd,3,6,nein
djws,afd,3,6,nein
djws,ja,3,6,nein
dkdfm,dpb,5,6,ja
dkdfm,dgk,5,6,ja
dkdfm,dsk,5,6,ja
dkdfm,dds,5,6,ja
dkdfm,dyn,5,6,ja
dkdfm,orm,5,6,ja
dkn,dms,1,3,nein
dkn,dca,1,3,nein
dkn,dib,3,6,nein
dls,dpn,1,3,nein
dls,afd,3,6,nein
dls,ja,3,6,nein
dmcm,dib,3,6,nein
dmk,dms,1,3,nein
dmkr,afd,3,6,nein
dmm,dib,3,6,nein
dmme,afd,3,6,nein
dms,dmm,1,2,nein
dms,dib,3,6,nein
dmtk,afd,3,6,nein
dna,dib,3,6,nein
dnb,ja,3,6,nein
dpb,dsk,1,4,nein
dpb,dds,1,4,nein
dpb,dyn,1,4,nein
dpn,afd,3,6,nein
dpn,ja,3,6,nein
dpt,dam,1,3,nein
dpt,dib,3,6,nein
drte,afd,3,6,nein
drte,ja,3,6,nein
drti,dmkr,1,4,nein
