id,name,sector,party,party 2,role,country,ereignis,partei,ib
afd,Alternative für Deutschland,0,k,,7,Deutschland,no,ja,nein
citadelle,"Bar ""La Citadelle""",0,k,,7,französisch,yes,n,nein
dag,Albert Glas,5,k,,3,Deutschland,no,n,nein
dal,Andreas Lichert,3,afd,,6,Deutschland,no,n,nein
dam,Alex Malenki,5,k,,3,Deutschland,no,n,nein
dap,André Poggenburg,3,afd,,4,Deutschland,no,n,nein
dat,Alexander Tassis,3,afd,,5,Deutschland,no,n,nein
dbh,Björn Höcke,2,afd,,7,Deutschland,no,n,nein
dca,Chris Ares,5,k,,3,Deutschland,no,n,nein
ddf,Daniel Fiß,5,k,,2,Deutschland,no,n,nein
ddm,Dubravko Mandic,3,afd,,4,Deutschland,no,n,nein
dds,Daniel Sebbin,5,k,,2,Deutschland,no,n,nein
dea,Defend Europe Alpen,0,k,,7,europäisch,yes,n,nein
dem,Defend Europe Mittelmeer,0,k,,7,europäisch,yes,n,nein
dfk,Felix Koschkar,3,afd,ja,4,Deutschland,no,n,nein
dfs,Falk Schakolat,5,k,,3,Deutschland,no,n,nein
dgk,Götz Kubitschek,4,k,,3,Deutschland,no,n,nein
dha,Holger Arppe,3,afd,,4,Deutschland,no,n,nein
dhms,Hildburg Mayer-Sande,3,afd,,3,Deutschland,no,n,nein
dht,Hans-Thomas Tillschneider,3,afd,,4,Deutschland,no,n,nein
dib,Identitäre Bewegung Deutschland,0,k,,7,Deutschland,no,n,ja
djab,Jannik Brämer,3,afd,,4,Deutschland,no,n,nein
djg,Jonas Grundhoff,3,afd,,3,Deutschland,no,n,nein
djh,John Hoewer,3,afd,,3,Deutschland,no,n,nein
djob,Joel Bußmann,3,afd,,4,Deutschland,no,n,nein
djr,Jonathan Rudolph,5,k,,3,Deutschland,no,n,nein
djs,Jörg Sobolewski,3,afd,,4,Deutschland,no,n,nein
djws,Jan Wenzel-Schmidt,2,afd,ja,6,Deutschland,no,n,nein
dkdfm,Konferenz der freien Medien,0,k,,7,Deustchland,yes,n,nein
dkn,Kai Naggert,5,k,,3,Deutschland,no,n,nein
dls,Lars Steinke,3,afd,ja,4,Deutschland,no,n,nein
dmcm,Marco Müller,5,k,,3,Deutschland,no,n,nein
dmk,Marius König,5,k,,6,Deutschland,no,n,nein
dmkr,Maximilian Krah,1,afd,,6,Deutschland,no,n,nein
dmm,Mario Müller,5,k,,3,Deutschland,no,n,nein
dmme,Marvin Mergard,3,afd,,4,Deutschland,no,n,nein
dms,Melanie Schmitz,5,k,,3,Deutschland,no,n,nein
dmtk,Marie-Therese Kaiser,3,afd,,5,Deutschland,no,n,nein
dna,Nils Altmieks,5,k,,1,Deutschland,no,n,nein
dnb,Nicolas Brickenstein,3,afd,ja,3,Deutschland,no,n,nein
dpb,Peter Bystron,2,afd,,4,Deutschland,no,n,nein
dpn,Philippe Navarre,3,afd,ja,4,Deutschland,no,n,nein
dpt,Philip Thaler,5,k,,2,Deutschland,no,n,nein
drte,Robert Teske ,3,afd,ja,4,Deutschland,no,n,nein
drti,Robert Timm,5,k,,3,Deutschland,no,n,nein
dsd,Siegbert Dröse,3,afd,,6,Deutschland,no,n,nein
dse,Sven Engeser,5,k,,3,Deutschland,no,n,nein
