id,name,sector ,party,party 2,role ,country,ereignis,partei,Teil der IB
de,Aktion Defend Europe,,,,,,ja,nein,nein
fav,Aurélien Verhassel,5,,,3,französisch,nein,nein,nein
fcl,Christelle Lechevalier,1,rn,,4,französisch,nein,nein,nein
fsg,Sylvie Goddyn,1,rn,,4,französisch,nein,nein,nein
fnb,Nicolas Bay,1,rn,,4,französisch,nein,nein,nein
fnc,Nicolas Crochet,6,,,4,französisch,nein,nein,nein
ffc,Frederic Chatillon,6,rn,,4,französisch,nein,nein,nein
fmmlp,Marion Marechal Le Pen,2,rn,,4,französisch,nein,nein,nein
fre,Romain Espino,5,,,2,französisch,nein,nein,nein
fmlp,Marine Le Pen,2,rn,,5,französisch,nein,nein,nein
fsc,Sebastian Chenu,2,rn,,4,französisch,nein,nein,nein
fpe,Phillipe Eymery,3,rn,,6,französisch,nein,nein,nein
fpl,Pierre Larti ,5,,,3,französisch,nein,nein,nein
frm,Remi Meurin ,3,rn,,3,französisch,nein,nein,nein
citadelle,"Bar ""La Citadelle""",,,,,französisch,ja,nein,nein
fdl,Damien Lefèvre ,5,,,3,französisch,nein,nein,nein
fjb,Jordan Bardella,2,rn,,5,französisch,nein,nein,nein
fcg,Clément Gandelin,5,,,2,französisch,nein,nein,nein
fpv,Philippe Vardon,3,rn,,3,französisch,nein,nein,nein
fpo,Phillippe Olivier,1,rn,,5,französisch,nein,nein,nein
fecd,Eric Cattelin-Denu,3,rn,,6,französisch,nein,nein,nein
frf,Remi Falize,5,,,3,französisch,nein,nein,nein
fate,Anne-Thaïs du Tertre d'Escoeuffant,,,,3,französisch,nein,nein,nein
ffs,Flora Salacroup,,rn,,3,französisch,nein,nein,nein
fjp,Jérémie Piano,,rn,,2,französisch,nein,nein,nein
fsr,Stéphane Ravier,,rn,,5,französisch,nein,nein,nein
fgb,Gaétan Bertrand,,rn,,3,französisch,nein,nein,nein
fgc,Gilbert Collard,1,rn,,3,französisch,nein,nein,nein
fclg,Clément Galant,,,,2,französisch,nein,nein,nein
fgp,Guillaume Pradoura,,,,3,französisch,nein,nein,nein
gi,Generation Identitaire,,,,,französisch,nein,nein,ja
rn,Resemblement National,,,,,,nein,ja,nein
oms,Martin Sellner,4,,,1,österreichisch,nein,nein,nein
oph,Philipp Huemer,4,,,1,österreichisch,nein,nein,nein
obc,Bernadette Conrads,3,fpö,,4,österreichisch ,nein,nein,nein
orf,Rudi Federspiel,3,fpö,,4,österreichisch,nein,nein,nein
owg,Wolfgang Grabmayr,3,fpö,,6,österreichisch,nein,nein,nein
oah,Alexander Höferl,2,fpö,,5,österreichisch,nein,nein,nein
ojk,Jürgen-Michael Kleppich ,2,fpö,,5,österreichisch,nein,nein,nein
obk,Beate Hartinger-Klein,2,fpö,,6,österreichisch,nein,nein,nein
oak,Axel Kassegger,2,fpö,,6,österreichisch,nein,nein,nein
odk,Dominic Keuschnig,3,fpö,,6,österreichisch,nein,nein,nein
omss,Mario S.,3,fpö,,3,österreichisch,nein,nein,nein
okk,Karin Kneissl,2,fpö,,6,österreichisch,nein,nein,nein
ogk,Gerhard Kurzmann,3,fpö,,4,österreichisch,nein,nein,nein
ojp,Jan Kevin Pawlik,3,fpö,,4,österreichisch,nein,nein,nein
ocp,Christian Pewny,2,fpö,,6,österreichisch,nein,nein,nein
oup,Ulrich Püschel,3,fpö,,4,österreichisch ,nein,nein,nein
orr,Reinhard Rebhandl,3,fpö,,5,österreichisch,nein,nein,nein
omms,Michael Schnedlitz,2,fpö,,4,österreichisch,nein,nein,nein
ohs,Heinrich Sickl,3,fpö,,4,österreichisch,nein,nein,nein
ohps,Heinz Peter Stanko,2,fpö,,5,österreichisch,nein,nein,nein
okw,Katharina Walter,3,fpö,,4,österreichisch,nein,nein,nein
osw,Siegfried Waschnig,2,fpö,,4,österreichisch,nein,nein,nein
oww,Werner Wassicek,3,fpö,,4,österreichisch,nein,nein,nein
oswa,Sabine Wassicek,3,fpö,,4,österreichisch,nein,nein,nein
owz,Wolfgang Zanger,2,fpö,,4,österreichisch,nein,nein,nein
oml,Michael Ley,4,,,4,österreichisch,nein,nein,nein
ome,Mario Eustacchio,3,fpö,,4,österreichisch,nein,nein,nein
ohk,Herbert Kickl,2,fpö,,4,österreichisch,nein,nein,nein
oam,Alexander Markovics,4,,,3,österreichisch,nein,nein,nein
