id,name,sector,party,party 2,role,country,ereignis,partei,ib,thing
afd,Alternative für Deutschland,7,k,,7,Deutschland,no,j,nein,j
dag,Albert Glas,5,k,,3,Deutschland,no,n,nein,n
dal,Andreas Lichert,3,afd,,6,Deutschland,no,n,nein,n
dam,Alex Malenki,5,k,,3,Deutschland,no,n,nein,n
dap,André Poggenburg,3,afd,,4,Deutschland,no,n,nein,n
dat,Alexander Tassis,3,afd,,5,Deutschland,no,n,nein,n
dbh,Björn Höcke,2,afd,,4,Deutschland,no,n,nein,n
dca,Chris Ares,5,k,,3,Deutschland,no,n,nein,n
ddf,Daniel Fiß,5,k,,2,Deutschland,no,n,nein,n
ddm,Dubravko Mandic,3,afd,,4,Deutschland,no,n,nein,n
dds,Daniel Sebbin,5,k,,2,Deutschland,no,n,nein,n
dfk,Felix Koschkar,3,afd,JA,4,Deutschland,no,n,nein,n
dfs,Falk Schakolat,5,k,,3,Deutschland,no,n,nein,n
dgk,Götz Kubitschek,4,k,,3,Deutschland,no,n,nein,n
dha,Holger Arppe,3,afd,,4,Deutschland,no,n,nein,n
dhms,Hildburg Mayer-Sande,3,afd,,3,Deutschland,no,n,nein,n
dht,Hans-Thomas Tillschneider,3,afd,,4,Deutschland,no,n,nein,n
dib,Identitäre Bewegung Deutschland,7,k,,7,Deutschland,no,n,ja,j
djab,Jannik Brämer,3,afd,,4,Deutschland,no,n,nein,n
djg,Jonas Grundhoff,3,afd,,3,Deutschland,no,n,nein,n
djh,John Hoewer,3,afd,,3,Deutschland,no,n,nein,n
djob,Joel Bußmann,3,afd,,4,Deutschland,no,n,nein,n
djr,Jonathan Rudolph,5,k,,3,Deutschland,no,n,nein,n
djs,Jörg Sobolewski,3,afd,,4,Deutschland,no,n,nein,n
djws,Jan Wenzel-Schmidt,2,afd,JA,6,Deutschland,no,n,nein,n
dkdfm,Konferenz der freien Medien,7,k,,7,Deutschland,yes,n,nein,j
dkn,Kai Naggert,5,k,,3,Deutschland,no,n,nein,n
dls,Lars Steinke,3,afd,JA,4,Deutschland,no,n,nein,n
dmcm,Marco Müller,5,k,,3,Deutschland,no,n,nein,n
dmk,Marius König,5,k,,6,Deutschland,no,n,nein,n
dmkr,Maximilian Krah,1,afd,,6,Deutschland,no,n,nein,n
dmm,Mario Müller,5,k,,3,Deutschland,no,n,nein,n
dmme,Marvin Mergard,3,afd,,4,Deutschland,no,n,nein,n
dms,Melanie Schmitz,5,k,,3,Deutschland,no,n,nein,n
dmtk,Marie-Therese Kaiser,3,afd,,5,Deutschland,no,n,nein,n
dna,Nils Altmieks,5,k,,1,Deutschland,no,n,nein,n
dnb,Nicolas Brickenstein,3,afd,JA,3,Deutschland,no,n,nein,n
dpb,Peter Bystron,2,afd,,4,Deutschland,no,n,nein,n
dpn,Philippe Navarre,3,afd,JA,4,Deutschland,no,n,nein,n
dpt,Philip Thaler,5,k,,2,Deutschland,no,n,nein,n
drte,Robert Teske ,3,afd,JA,4,Deutschland,no,n,nein,n
drti,Robert Timm,5,k,,3,Deutschland,no,n,nein,n
dsd,Siegbert Dröse,3,afd,,6,Deutschland,no,n,nein,n
