id,name,sector,party,party 2,role,country,ereignis,partei,ib
de,Aktion Defend Europe,0,k,,0,europäisch,yes,n,nein
fav,Aurélien Verhassel,5,k,,3,französisch,no,n,nein
fcl,Christelle Lechevalier,1,rn,,4,französisch,no,n,nein
fsg,Sylvie Goddyn,1,rn,,4,französisch,no,n,nein
fnb,Nicolas Bay,1,rn,,4,französisch,no,n,nein
fnc,Nicolas Crochet,6,k,,4,französisch,no,n,nein
ffc,Frederic Chatillon,6,rn,,4,französisch,no,n,nein
fmmlp,Marion Marechal Le Pen,2,rn,,4,französisch,no,n,nein
fre,Romain Espino,5,k,,2,französisch,no,n,nein
fmlp,Marine Le Pen,2,rn,,5,französisch,no,n,nein
fsc,Sebastian Chenu,2,rn,,4,französisch,no,n,nein
fpe,Phillipe Eymery,3,rn,,6,französisch,no,n,nein
fpl,Pierre Larti,5,k,,3,französisch,no,n,nein
frm,Remi Meurin,3,rn,,3,französisch,no,n,nein
citadelle,"Bar ""La Citadelle""",0,k,,0,französisch,yes,n,nein
fdl,Damien Lefèvre,5,k,,3,französisch,no,n,nein
fjb,Jordan Bardella,2,rn,,5,französisch,no,n,nein
fcg,Clément Gandelin,5,k,,2,französisch,no,n,nein
fpv,Philippe Vardon,3,rn,,3,französisch,no,n,nein
fpo,Phillippe Olivier,1,rn,,5,französisch,no,n,nein
fecd,Eric Cattelin-Denu,3,rn,,6,französisch,no,n,nein
frf,Remi Falize,5,k,,3,französisch,no,n,nein
fate,Anne-Thaïs du Tertre d'Escoeuffant,0,k,,3,französisch,no,n,nein
ffs,Flora Salacroup,0,rn,,3,französisch,no,n,nein
fjp,Jérémie Piano,0,rn,,2,französisch,no,n,nein
fsr,Stéphane Ravier,0,rn,,5,französisch,no,n,nein
fgb,Gaétan Bertrand,0,rn,,3,französisch,no,n,nein
fgc,Gilbert Collard,1,rn,,3,französisch,no,n,nein
fclg,Clément Galant,0,k,,2,französisch,no,n,nein
fgp,Guillaume Pradoura,0,k,,3,französisch,no,n,nein
gi,Generation Identitaire,0,k,,0,französisch,no,n,ja
rn,Resemblement National,0,k,,0,französisch,no,j,nein
oms,Martin Sellner,4,k,,1,österreichisch,no,n,nein
oph,Philipp Huemer,4,k,,1,österreichisch,no,n,nein
obc,Bernadette Conrads,3,fpö,,4,österreichisch,no,n,nein
orf,Rudi Federspiel,3,fpö,,4,österreichisch,no,n,nein
owg,Wolfgang Grabmayr,3,fpö,,6,österreichisch,no,n,nein
oah,Alexander Höferl,2,fpö,,5,österreichisch,no,n,nein
ojk,Jürgen-Michael Kleppich,2,fpö,,5,österreichisch,no,n,nein
obk,Beate Hartinger-Klein,2,fpö,,6,österreichisch,no,n,nein
oak,Axel Kassegger,2,fpö,,6,österreichisch,no,n,nein
odk,Dominic Keuschnig,3,fpö,,6,österreichisch,no,n,nein
omss,Mario S.,3,fpö,,3,österreichisch,no,n,nein
okk,Karin Kneissl,2,fpö,,6,österreichisch,no,n,nein
ogk,Gerhard Kurzmann,3,fpö,,4,österreichisch,no,n,nein
ojp,Jan Kevin Pawlik,3,fpö,,4,österreichisch,no,n,nein
ocp,Christian Pewny,2,fpö,,6,österreichisch,no,n,nein
oup,Ulrich Püschel,3,fpö,,4,österreichisch,no,n,nein
orr,Reinhard Rebhandl,3,fpö,,5,österreichisch,no,n,nein
omms,Michael Schnedlitz,2,fpö,,4,österreichisch,no,n,nein
ohs,Heinrich Sickl,3,fpö,,4,österreichisch,no,n,nein
ohps,Heinz Peter Stanko,2,fpö,,5,österreichisch,no,n,nein
okw,Katharina Walter,3,fpö,,4,österreichisch,no,n,nein
osw,Siegfried Waschnig,2,fpö,,4,österreichisch,no,n,nein
oww,Werner Wassicek,3,fpö,,4,österreichisch,no,n,nein
oswa,Sabine Wassicek,3,fpö,,4,österreichisch,no,n,nein
owz,Wolfgang Zanger,2,fpö,,4,österreichisch,no,n,nein
oml,Michael Ley,4,k,,4,österreichisch,no,n,nein
ome,Mario Eustacchio,3,fpö,,4,österreichisch,no,n,nein
ohk,Herbert Kickl,2,fpö,,4,österreichisch,no,n,nein
oam,Alexander Markovics,4,k,,3,österreichisch,no,n,nein
omh,Markus Hein,3,fpö,,4,österreichisch,no,n,nein
dib,Identitäre Bewegung Deutschland,0,k,,0,Deutschland,no,n,ja
oib,Identitäre Bewegung Österreich,0,k,,0,österreichisch,no,n,ja
ofpö,Freiheitliche Partei Deutschland,0,fpö,,0,österreichisch,no,j,nein
omk,Mario Kunasek,2,fpö,,4,österreichisch,no,n,nein
ogd,Gernot Darmann,3,fpö,,4,österreichisch,no,n,nein
ovek,Verteidiger Europas Kongress,0,k,,0,österreichisch ,yes,n,nein
owa,Walter Asperl,3,fpö,,4,österreichisch,no,n,nein
dal,Andreas Lichert,3,afd,,6,Deutschland,no,n,nein
